title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,duration,uploadTime
"Storm Milton, major disaster #shorts",zdEpD76ekdM,102960,2645,0,117,0,PT24S,2024-10-11 23:11:06
Anchor Media &#39;&#39;ya'abeye 'ahemade yakonomi polisi gabayaa mare saayehone thamanejaa mare nawe&#39;&#39; pe/re tashoma 'ababa,O3JC6Lf9_jw,62566,2370,0,166,0,PT1H22M31S,2024-09-07 13:35:35
Anchor media ya'adaamaawe yabeletsegenaa sebesabaa: faanonaa 'adisu `aamate: bategeraaye mafaneqela manegesete? 'obenage yathayaqawe maaberaariyaa: ya'aferikaawe qanede qawese,DcJ5WB4ihn8,77802,2847,0,201,0,PT1H29M44S,2024-09-13 22:28:21
Anchor yagonedaru wegiyaa: ya'abeye 'ahemade 'adise zure theqaate: yategeraaye qawese: yathorenate kabaro babaado meedaa: yataakela 'umaa &#39;teyopheyaa&#39;: yape/re bayana senebete,UfGWRr6I_lU,99329,3654,0,275,0,PT1H33M7S,2024-09-18 07:04:06
"Israel now Iran Will not leave, Pak anchor Fiza Khan",hV2aKobK8kY,181081,6288,0,727,0,PT6M50S,2024-10-03 01:30:33
Anchor Media ya'ameerikaa merechaanaa teyopheyaaweyaane ba'ameerikaa,TRoyYwaZNyw,17780,1178,0,83,0,PT45M14S,2024-09-26 02:46:09
"Anchor, Reporter bnne ke lie khaaN se kreN pddh'aaii?| How to become a Journalist | IIMC | Media@RangrootLT",yDTx59w3e4E,208147,6714,0,262,0,PT10M31S,2022-08-11 11:39:07
ii 14 vyss kaar Anchor nrre killi prrtti  Mentalist Karthik Interview | Magic,dl2VcR1BxAE,1146360,27501,0,757,0,PT27M48S,2024-07-08 09:41:51
PTUN Jakarta akan Bacakan Putusan Gugatan PDIP ke KPU soal Pencalonan Gibran jadi Cawapres #shorts,uBCHnj6cwbg,492130,3422,0,258,0,PT43S,2024-10-10 02:40:00
Anchor Media heberataacene - dehera 'abeye 'enaa yabeheere theyaaqee - bagalataawe zalaqa,EGWUZiTqAKc,16478,913,0,91,0,PT1H54S,2024-10-06 04:55:37
Anchor Media yakaahenunaa yabeetasabu gedeyaa: yareecaa 'abeyote: yaderone theqaate bamaseqale ba`aale: yawareqe negedu kamanegesete quthethere wathetwale: yaniweyoreke le`ukaane,QShfPKkAqkk,53587,1760,0,210,0,PT1H18M15S,2024-09-27 23:57:21
Anchor Media&#39;&#39;yasawe hagare warahe yateyopheyaa hezebe kagonee yesalafaale belahe fatsemo 'atethabeqe. 'abeye 'ahemade 'ebede selahona thorenate wesethe ligabaa yecelaale&#39;&#39;,ARsA6wAkJb4,170125,4992,0,1239,0,PT32M46S,2024-09-03 01:15:50
Anchor yapereezedaanetwa wesaaneenaa ya'ena 'abeye 'ahemade tathabaaqi 'eremejaa: yapolatikaawe reecaa 'eyafathara yaalawe hagaraawi 'adagaa: yafaano delocenaa yabeletsegenaa peropogaanedaa,PLjljzkski8,211145,7389,0,750,0,PT1H15M19S,2024-10-06 08:24:31
Anchor New Year 2016 'enedeete 'alafa? ba2017 mene 'enethabeqe?,2YR4mdbkv5A,16043,824,0,58,0,PT15M53S,2024-09-10 11:51:06
Anchor Special waalalenye makonene daageme motwale - bamulu`aalame ga/madehene,gFj0ERxDkJc,106480,5763,0,903,0,PT26M18S,2024-08-30 05:37:52
Anchor Media yagonedaru wegiyaa,2eaqiEkoD2g,133738,5753,0,282,0,PT8M8S,2024-09-18 01:18:34
Anchor ya'abeye 'ahemade zamacaa ba'amaaraa kelele: ya'ereecaa ba`aale yapolatikaa maderake: yakonomiwe qawese kafaano bafite manegesetene yaathafaale: ya'eseraa`eelenaa raane fethechaa,eNnAeK5kMis,60605,2568,0,225,0,PT1H45M30S,2024-10-03 19:50:33
Anchor &#39;&#39;salaame kaleela merete yalame. merete kaleela 'edegate yalame. ya'abeye 'ahemade 'agazaaze yeheene tafathero'awi 'ewenate lamakaade yefalegaale&#39;&#39; pe/re tashoma 'ababa,cWaGCXI4JBM,56135,2695,0,130,0,PT1H11M30S,2024-10-03 11:45:52
ii 14 vyss kaar Anchor nrre killi prrtti  Mentalist Karthik Interview | Magic,dl2VcR1BxAE,1146360,27501,0,757,0,PT27M48S,2024-07-08 09:41:51
